price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_type,water_softener,bathrooms,solar_panels,heating_type,heat_pump,air_conditioning,alarm,parking_places_outdoor,garden_surface,garden_orientation,terrace_surface,terrace_orientation,land_surface,sewer_connection,running_water,primary_energy_consumption,certification_electrical_installation,certification_gasoil_tank,planning_permission_granted,preemption_right,demarcated_flooding_area,surroundings_protected,opportunity_for_professional,wash_room,leased,living_room_surface,attic,glazing_type,elevator,entry_phone,security_door,access_disabled,apartement_floor,front_facade_orientation,number_floors,toilets,cadastral_income,vat,property_subtype,postal_code,property_type,area_missing,build_year_missing,garden_surface_missing,terrace_surface_missing,land_surface_missing,primary_energy_consumption_missing,living_room_surface_missing,cadastral_income_missing
309000.0,20,117.0,0,1,0,1,0,2,1,2011.0,2,0,2,2,0,2,3,2,2,2,0,200.0,1,14.0,1,405.0,2,1,143.0,0,0,2,2,0,2,2,0,0,32.0,2,1,0,2,2,2,11,0,30,0,800.0,1,0,2170,0,0,1,1,1,1,0,1,1
289000.0,20,101.0,2,4,2,0,0,2,1,1927.0,2,1,2,2,0,2,3,2,0,0,0,200.0,1,14.0,1,405.0,2,2,181.0,0,0,2,0,0,0,2,0,0,32.0,2,0,0,2,2,0,11,0,20,0,800.0,1,0,2140,0,0,0,1,1,1,0,1,1
575000.0,22,195.0,2,4,2,1,0,2,1,1981.0,2,1,2,2,7,2,5,2,2,0,0,200.0,1,10.0,1,405.0,2,2,126.0,0,0,2,0,0,0,2,0,0,32.0,2,1,1,2,2,0,11,0,28,18,800.0,1,0,2018,0,0,0,1,0,1,0,1,1
225000.0,1,55.0,4,1,0,1,0,2,1,2017.0,2,0,2,2,0,2,3,2,2,2,0,200.0,1,14.0,1,405.0,2,2,48.0,2,0,2,2,0,2,2,0,0,32.0,2,1,0,2,2,2,15,0,1,0,707.0,1,0,2140,0,0,0,1,1,1,0,1,0
395000.0,13,100.0,2,4,2,1,0,2,1,2011.0,2,1,2,2,0,2,6,2,0,0,0,200.0,1,15.0,1,405.0,2,2,234.0,0,0,2,2,0,0,2,0,0,32.0,2,0,0,2,2,0,0,0,22,0,800.0,1,0,2000,0,0,1,1,0,1,0,1,1
349000.0,13,115.0,2,4,2,1,0,2,1,1970.0,2,1,2,2,19,2,2,2,0,0,0,200.0,1,14.0,1,405.0,2,2,232.0,0,0,2,2,0,0,2,0,0,32.0,2,0,0,2,2,0,27,0,30,18,800.0,1,0,2600,0,0,0,1,1,1,1,1,1
375000.0,13,107.0,4,4,0,1,0,2,1,2021.0,0,1,2,2,0,2,6,2,2,2,0,200.0,1,30.0,1,405.0,2,2,232.0,0,0,1,0,0,0,2,0,2,32.0,0,1,1,2,2,0,1,0,30,18,1115.0,1,0,2050,0,0,0,1,0,1,1,1,0
199900.0,13,60.0,4,4,0,1,0,2,1,1957.0,2,1,2,2,0,2,3,2,2,2,0,200.0,1,3.0,1,405.0,2,2,292.0,2,0,2,2,0,2,2,0,0,28.0,2,1,0,2,2,2,11,0,11,0,800.0,1,0,2100,0,0,0,1,0,1,0,0,1
1145500.0,20,160.0,0,4,2,1,2,2,1,2011.0,2,1,2,2,19,2,6,2,2,2,0,200.0,1,50.0,1,405.0,2,2,232.0,0,0,2,2,0,2,2,0,2,32.0,2,1,1,2,2,2,27,0,30,18,800.0,0,18,2000,0,0,1,1,0,1,1,1,1
595000.0,22,175.0,7,1,0,0,0,2,3,2011.0,2,1,1,2,0,2,3,2,2,2,0,200.0,1,14.0,1,405.0,2,1,615.0,2,0,0,0,0,2,2,0,0,32.0,2,0,1,2,2,2,1,0,20,7,800.0,1,22,2000,0,0,1,1,1,1,0,1,1
